일자,시가,고가,저가,종가,거래량
2017-07-25,50500,50760,49940,50000,216212
2017-07-26,49600,50020,49300,49840,224496
2017-07-27,50000,50640,49560,49800,228990
2017-07-28,49800,49800,47380,47760,523366
2017-07-31,47420,48240,46920,48200,254028
2017-08-01,48000,48840,47540,48600,227390
2017-08-02,49200,49340,48600,49000,155549
2017-08-03,49000,49000,47120,47780,310816
2017-08-04,48160,48180,47500,47700,167184
2017-08-07,47500,48080,47440,47580,144365
2017-08-08,47980,48260,47480,47720,159592
2017-08-09,47400,47400,46240,46280,291108
2017-08-10,46200,46320,45460,45900,459723
2017-08-11,45120,45300,44220,44620,508146
2017-08-14,45120,45400,44720,45000,383712
2017-08-16,46220,46380,46000,46200,438273
2017-08-17,46960,47300,46740,47040,248317
2017-08-18,46760,47240,46240,46900,209559
2017-08-21,47240,47240,46580,46840,102069
2017-08-22,46820,47160,46700,47000,147635
2017-08-23,47780,47780,47180,47480,187694
2017-08-24,47520,47660,47340,47520,173149
2017-08-25,47880,47880,46720,47020,224871
2017-08-28,47020,47240,45960,46100,199242
2017-08-29,45640,46080,45160,46080,252473
2017-08-30,46380,46400,45960,46200,150260
2017-08-31,46220,46640,46000,46320,220234
2017-09-01,46460,46640,46300,46480,212834
2017-09-04,45780,46360,45500,46040,158870
2017-09-05,46240,46900,45960,46760,234322
2017-09-06,46760,47180,46700,47000,216221
2017-09-07,47000,48220,47000,48120,193530
2017-09-08,48700,49180,48580,49080,217860
2017-09-11,49700,50180,49500,49800,207495
2017-09-12,50200,50220,49140,49600,240595
2017-09-13,49820,50400,49440,49620,187140
2017-09-14,50060,50320,49760,50300,284095
2017-09-15,50300,50560,49860,50400,215146
2017-09-18,50540,52480,50520,52480,230499
2017-09-19,52500,52640,51780,52120,197008
2017-09-20,52120,52500,51840,52220,185855
2017-09-21,52219,52960,52219,52800,176796
2017-09-22,52960,53600,52459,53000,278448
2017-09-25,52999,53679,52999,53620,186062
2017-09-26,53020,53120,51560,51660,341144
2017-09-27,52000,52200,51500,51680,215940
2017-09-28,52260,52460,51260,51260,240509
2017-09-29,51180,51620,50840,51280,258188
2017-10-10,53360,53640,52799,52800,410396
2017-10-11,53600,54760,53340,54640,273043
2017-10-12,54840,55160,54099,54800,277814
2017-10-13,54540,54840,53780,54000,252033
2017-10-16,53980,54860,53760,53920,195399
2017-10-17,54019,55380,54000,54800,212156
2017-10-18,54820,55240,54039,54760,202215
2017-10-19,54699,54699,52980,52980,242174
2017-10-20,52800,54100,52800,53840,160541
2017-10-23,54600,54640,54000,54300,166221
2017-10-24,54699,54780,54040,54040,116121
2017-10-25,54040,54420,53699,53900,117657
2017-10-26,53720,53900,52400,52400,195531
2017-10-27,52400,53320,52140,53080,147850
2017-10-30,53780,54320,53699,54040,163923
2017-10-31,54060,55440,53500,55080,267631
2017-11-01,57500,57500,56179,57220,290205
2017-11-02,57500,57519,56760,57060,214421
2017-11-03,57059,57140,55860,56380,198716
2017-11-06,56380,56500,55340,56380,180019
2017-11-07,56380,56920,55860,56100,149291
2017-11-08,56100,57060,55860,56760,170404
2017-11-09,56920,56920,55899,56340,239881
2017-11-10,55800,56540,55780,56400,134976
2017-11-13,56400,56799,56100,56380,176133
2017-11-14,56380,56740,55920,55920,134500
2017-11-15,55920,56319,55320,55340,176339
2017-11-16,55440,56000,55400,55780,152814
2017-11-17,56399,56880,55820,55820,214663
2017-11-20,55900,55980,55200,55200,189455
2017-11-21,55400,55839,55280,55280,206494
2017-11-22,55980,56200,55620,55960,159059
2017-11-23,55960,55979,55020,55300,125458
2017-11-24,55300,55500,55180,55460,90724
2017-11-27,55360,55360,52640,52640,362578
2017-11-28,52699,53280,51720,53280,269988
2017-11-29,53200,53240,52500,52600,191805
2017-11-30,50800,51860,50200,50800,592683
2017-12-01,50800,51780,50800,50840,257372
2017-12-04,50840,51340,50020,51340,297301
2017-12-05,50600,51300,50280,51260,186531
2017-12-06,51260,51560,50020,50020,217784
2017-12-07,50040,50980,50020,50740,221312
2017-12-08,51360,52000,51040,52000,225809
2017-12-11,52000,52040,51500,51780,162517
2017-12-12,51820,52100,51660,52100,175301
2017-12-13,52100,52100,51100,51320,226674
2017-12-14,51320,52280,51060,51060,406208
2017-12-15,51240,51480,50520,50620,298571
2017-12-18,50620,51240,50620,51200,147005
2017-12-19,51540,52080,51520,51560,239572
2017-12-20,51500,51760,50820,50880,201611
2017-12-21,51000,51060,49100,49140,312486
2017-12-22,49400,49960,49240,49700,223993
2017-12-26,49760,50100,48200,48200,320797
2017-12-27,48960,49560,48460,49360,214872
2017-12-28,49560,50960,49500,50960,179709
2018-01-02,51380,51400,50780,51020,169485
2018-01-03,52540,52560,51420,51620,200270
2018-01-04,52120,52180,50640,51080,233909
2018-01-05,51300,52120,51200,52120,189623
2018-01-08,52400,52520,51500,52020,167673
2018-01-09,51460,51720,49980,50400,360272
2018-01-10,50500,50520,48640,48840,371336
2018-01-11,48200,49260,48020,48240,502476
2018-01-12,48240,48480,46760,48200,545409
2018-01-15,48800,48980,47920,48540,201920
2018-01-16,48760,50140,48620,50000,407793
2018-01-17,50020,50020,49060,49620,221061
2018-01-18,50020,50640,49820,49900,296977
2018-01-19,50380,50380,49040,49320,184399
2018-01-22,48640,48680,47960,48240,250418
2018-01-23,48660,49160,48300,49160,270654
2018-01-24,48860,49700,48560,49340,191010
2018-01-25,49220,50360,49160,50260,223207
2018-01-26,50500,50780,49840,50780,207002
2018-01-29,51200,51480,50900,51220,236776
2018-01-30,50440,50640,49780,49800,245691
2018-01-31,50020,54140,49600,49900,1293626
2018-02-01,50620,50960,49720,49820,552189
2018-02-02,49380,49400,47700,47700,585207
2018-02-05,46500,48320,46000,47920,567158
2018-02-06,46600,47920,46580,47420,388129
2018-02-07,48240,48260,45800,45800,468961
2018-02-08,46120,46620,45980,46000,465021
2018-02-09,44440,45180,44420,44700,349300
2018-02-12,45100,46320,45040,45720,315099
2018-02-13,46200,48060,46200,47540,378465
2018-02-14,48080,49100,47940,49000,378118
2018-02-19,49800,49800,47860,48380,307069
2018-02-20,48040,48160,47220,47400,202452
2018-02-21,47280,47580,46840,47280,257604
2018-02-22,47260,47260,46760,46760,177399
2018-02-23,46760,47800,46760,47220,248466
2018-02-26,47280,47560,47080,47380,191213
2018-02-27,48360,48380,47380,47380,196611
2018-02-28,47380,48100,47000,47060,303247
2018-03-02,46580,46800,46000,46020,265310
2018-03-05,45820,46160,45080,45200,282019
2018-03-06,45920,47100,45820,47020,308467
2018-03-07,48200,48900,47220,48620,428541
2018-03-08,49200,49480,48080,49200,389273
2018-03-09,49440,50540,49240,49740,286088
2018-03-12,50560,50780,49580,49740,173779
2018-03-13,50760,51660,50360,51660,401974
2018-03-14,51020,52000,51000,51760,254265
2018-03-15,52000,52020,51020,51540,177649
2018-03-16,51220,51420,50240,51140,243698
2018-03-19,50620,51340,50440,50740,164377
2018-03-20,50700,51200,50100,51200,163865
2018-03-21,51780,51780,51060,51060,178104
2018-03-22,51060,51780,51040,51780,169082
2018-03-23,50340,50720,49600,49720,297099
2018-03-26,49420,50280,49040,50280,201155
2018-03-27,50320,50460,49080,49980,237480
2018-03-28,49100,49100,48340,48700,303189
2018-03-29,48700,49560,48320,49040,201340
2018-03-30,49080,49900,49080,49220,155542
2018-04-02,49000,49220,48500,48540,142313
2018-04-03,47880,48140,47280,48120,255365
2018-04-04,48160,48260,46920,46920,247684
2018-04-05,47400,49380,47340,48740,264912
2018-04-06,48000,48580,47400,48400,250654
2018-04-09,48260,49440,48200,49200,199008
2018-04-10,48540,49220,48040,48880,219687
2018-04-11,49900,49900,48600,48860,201022
2018-04-12,49440,49440,48880,49000,249325
2018-04-13,49600,50180,49400,49800,205566
2018-04-16,50320,50600,49860,50340,157549
2018-04-17,50240,50540,49820,49980,155440
2018-04-18,51000,51360,50580,51360,269252
2018-04-19,52000,52980,51540,52780,343811
2018-04-20,51800,52260,51420,51620,235220
2018-04-23,51000,52080,51000,51900,232380
2018-04-24,51840,51860,50080,50460,315406
2018-04-25,49220,50500,49220,50400,332292
2018-04-26,50420,52160,50400,52140,360931
2018-04-27,53380,53639,52440,53000,606216
2018-04-30,0,0,0,53000,0
2018-05-02,0,0,0,53000,0
2018-05-03,0,0,0,53000,0
2018-05-04,53000,53900,51800,51900,39565391
2018-05-08,52600,53200,51900,52600,23104720
2018-05-09,52600,52800,50900,50900,16128305
2018-05-10,51700,51700,50600,51600,13905263
2018-05-11,52000,52200,51200,51300,10314997
2018-05-14,51000,51100,49900,50100,14909272
2018-05-15,50200,50400,49100,49200,18709146
2018-05-16,49200,50200,49150,49850,15918683
2018-05-17,50300,50500,49400,49400,10365440
2018-05-18,49900,49900,49350,49500,6706570
2018-05-21,49650,50200,49100,50000,9020998
2018-05-23,50600,52000,50400,51800,17095490
2018-05-24,52000,52000,51100,51400,8289275
2018-05-25,51000,52800,50800,52700,15207266
2018-05-28,52500,53000,52000,52300,9787820
2018-05-29,52200,52500,51300,51300,8480437
2018-05-30,51300,51500,49100,49500,20498098
2018-05-31,50400,50800,49850,50700,63491109
2018-06-01,50500,51700,49950,51300,13038499
2018-06-04,50800,51200,50700,51100,9767171
2018-06-05,51100,51400,50400,51300,9144100
2018-06-07,51800,51800,50500,50600,13590016
2018-06-08,50200,50400,49600,49650,16951706
2018-06-11,49750,50300,49350,49900,10571312
2018-06-12,49700,49800,49250,49400,12110569
2018-06-14,49000,49000,48200,48200,20971729
2018-06-15,48500,48700,47650,47650,17080892
2018-06-18,47600,47650,46200,46600,16661870
2018-06-19,47200,47350,46500,47000,15217971
2018-06-20,47450,47600,46850,47000,12959316
2018-06-21,47900,47900,47050,47050,10015541
2018-06-22,47000,47250,46200,47250,10298006
2018-06-25,47050,47050,46150,46650,10587711
2018-06-26,45900,47300,45900,47000,11223166
2018-06-27,47450,48500,47000,47950,15274752
2018-06-28,46850,47150,46600,46800,12784800
2018-06-29,46250,47150,46200,46650,14099635
2018-07-02,46500,47150,45500,45550,13112253
2018-07-03,45750,46450,45750,46150,10959655
2018-07-04,46700,47050,46050,46250,8776763
2018-07-05,46100,46550,45600,45950,7039773
2018-07-06,45500,45850,44650,44900,17843706
2018-07-09,45500,46100,45200,45600,11602464
2018-07-10,46200,46550,46100,46300,10528665
2018-07-11,46400,46450,45400,46000,11224077
2018-07-12,45900,46250,45450,45500,11828104
2018-07-13,45800,46500,45750,46500,11543389
2018-07-16,46800,46800,46000,46050,7678719
2018-07-17,46150,46200,45600,45850,8892953
2018-07-18,46700,47200,46450,46550,10952645
2018-07-19,47050,47200,46600,46900,9880128
2018-07-20,47000,47600,46700,47450,10474547
2018-07-23,47100,47200,46150,46500,10823782
2018-07-24,46350,46600,45950,46150,8261363
2018-07-25,46250,46550,45900,46150,7222471
2018-07-26,46100,47000,46000,46900,7374946
2018-07-27,46450,47000,46450,46900,4762460
2018-07-30,46550,46800,46350,46500,5723035
2018-07-31,46200,46450,46000,46250,8033607
2018-08-01,46050,46850,46050,46550,7484499
2018-08-02,46550,46800,45500,45550,8560924
2018-08-03,45850,45900,45450,45750,8274944
2018-08-06,46150,46150,45750,45800,6771979
2018-08-07,46300,46750,45900,46700,9058174
2018-08-08,47000,47000,46550,46800,6429338
2018-08-09,47000,47050,46450,46900,12010886
2018-08-10,46150,46400,44850,45400,16670643
2018-08-13,44950,45100,44650,45050,9803831
2018-08-14,44850,45400,44850,45150,6409259
2018-08-16,43800,44650,43700,44250,10088229
2018-08-17,44050,44400,44050,44100,6808747
2018-08-20,43500,44200,43500,43850,7289124
2018-08-21,43700,44900,43700,44800,9520270
2018-08-22,45150,46200,44900,46100,11641656
2018-08-23,46150,46200,45700,46200,6730918
2018-08-24,45900,46400,45550,46150,6582535
2018-08-27,46100,46550,46000,46300,5263782
2018-08-28,46800,46950,46300,46550,7365976
2018-08-29,46750,46800,46400,46800,5572374
2018-08-30,46950,47950,46700,47650,12193231
2018-08-31,47100,48450,47000,48450,13577454
2018-09-03,48200,48300,47300,47450,8595084
2018-09-04,47550,47800,47200,47650,6791255
2018-09-05,47300,47450,46400,46600,9139998
2018-09-06,46200,46400,45800,46100,9040553
2018-09-07,44500,45200,44400,44900,18285508
2018-09-10,45450,45550,45000,45500,9979838
2018-09-11,45550,45900,45050,45050,9865790
2018-09-12,44900,45100,44500,44550,12995269
2018-09-13,44550,44750,44000,44050,18277942
